"name","description"
"test_msg_sparsity_error","TODO"
"get_validate_sql_pat_types","TODO"
"get_validate_sql_window_days","TODO"
"get_validate_sql_visit_number","TODO"
"get_validate_sql_vital_types","TODO do we need this?"
"validate_records_per_month","Returns ggplot of count_field counts per month"
"validate_elig_records_per_month","Returns ggplot of new subscribed members in eligibility per month"
"validate_med_claim_records_per_month","Returns ggplot of med claims per month"
"validate_rx_claim_records_per_month","Returns ggplot of rx claims per month"
"validate_wellview_records_per_month","Returns ggplot of unique wellview users per month"
"validate_case_mgmt_records_per_month","Returns ggplot of case management users per month"
"validate_precert_records_per_month","Returns ggplot of precert cases per month"
"validate_graphics_to_pdf","Outputs a pdf of validation ggplots"
"validate_predictions","Outputs table of model predictions validated against DEV predictions"
"get_bea_data_from_csv","Returns data table of BEA csv data sourced from https://apps.bea.gov/regional/downloadzip.cfm"
"insert_bea_data","Appends new BEA data to existing table in SQL"
"get_bls_county_data_from_xlsx","Returns data table of BLS county employment xls data sourced from https://www.bls.gov/cew/downloadable-data-files.htm *data updated every quarter"
"insert_bls_county_data","Appends new BLS county data to existing table in SQL"
"get_bls_la_data_from_txt","Returns data table of BLS local area stats txt data sourced from https://download.bls.gov/pub/time.series/la/"
"insert_bls_la_data","Appends new BLS local area data to existing table in SQL"
"get_census_cbp_data_from_txt","Returns data table of census CBP area stats txt data sourced from https://www.census.gov/programs-surveys/cbp/data/datasets.html"
"insert_census_cbp_data","Appends new census CBP data to existing table in SQL"
"get_census_zbp_data_from_dat","Returns data table of census ZBP area stats txt data sourced from https://www2.census.gov/econ2015/CB/sector00/CB1500CZ21.zip (2015) and https://www2.census.gov/econ2016/CB/sector00/CB1600CZ21.zip (2016)"
"insert_census_zbp_data","Appends new census CBP data to existing table in SQL"
"get_zip_code_db","Returns zip_code_database from external db"
"get_asmts_master_file","Gets asmts_master XLS from file and validates entries and returns list of data.tables"
"save_asmts_db","Saves (and checks to see if needing update) asmts to database"
"get_asmts_db","Gets asmt* tables from database"
"get_member_asmts_db","Gets member_asmt* tables from database"
"save_member_asmts_db","Saves member_asmt* tables into the DB - currents does NOT consider existing member_asmt records in the DB"
"get_asmt_tables_info","Returns table info for asmt* tables"
"get_member_asmt_tables_info","Returns table info for member_asmt* tables"
"get_case_mgmt_v1_xls","Gets case_mgmt data from XLS"
"get_case_mgmt_v2_xls","Gets case_mgmt data from XLS (daily file)"
"save_case_mgmt_db","Save case_mgmt data to DB (inserts / updates) TODO - need to test update functionality"
"get_case_mgmt_db","Retrieves case_mgmt data from database"
"get_case_mgmt_dates","Gets dates on case management of a member"
"import_case_mgmt_from_zip","Import AHH case mgmt daily file from zip into database"
"try_import_case_mgmt_from_zip","try/catch wrapper for import_case_mgmt_from_zip - imports AHH case mgmt daily data from zip"
"get_case_mgmt_interventions_xls","Gets case_mgmt intervention data from XLS"
"get_case_mgmt_assessments_xls","Gets case_mgmt assessments data from XLS"
"get_census_v1_xls","Gets census file from XLS"
"get_hcpcs_codes","Gets HCPCS codes"
"get_hcpcs_modifiers","Gets HCPCS modifiers"
"save_hcpcs_codes","Saves out HCPCS codes reference (generated from claim file)"
"save_hcpcs_modifiers","Saves out HCPCS modifiers reference (generated from claim file)"
"get_ndc_product","Gets NDC product from XLS ***Note - after saving current from https://www.fda.gov/drugs/drug-approvals-and-databases/national-drug-code-directory (specifically https://www.accessdata.fda.gov/cder/ndcxls.zip) you MUST save back out to product.xlsx"
"get_deprescribing_db","Gets deprescribing file from XLS"
"get_med_prc_grouping","Returns grouped medical CPT codes into a data.table"
"set_icd_dx_grouping_cols","Returns grouped medical dx codes into a data.table"
"get_icd10_dx_grouping_db","Returns grouped ICD-10 medical dx codes into a data.table"
"get_icd9_dx_grouping_db","Returns grouped ICD-10 medical dx codes into a data.table"
"get_dent_prc_grouping","Return grouped dental CDT codes"
"get_prev_prc_ref","Returns reference for preventative procedures"
"get_icd10_dxccsr_grouping_db","Returns CCSR grouped ICD-10 medical dx codes into a data.table"
"set_icd_dxccsr_grouping_cols","Returns CCSR grouped medical dx codes into a data.table"
"save_icd10_dxccsr_grouping_db","Returns CCSR grouped ICD-10 medical dx codes into a data.table"
"get_major_rx_grouping_db","Returns Level 1 Major Drug Classes from first 2 GPI Digits into a data.table"
"save_to_db","General save to database function for daily data / first time"
"get_insert_update_data","Determines which records to insert, update, and do nothing with from import (from xls/csv?) data and DB data. Returns list."
"update_import_data","Update data in database function for daily feed"
"get_ss_vartypes","creates sql server varTypes list for use in iSqlQuery()"
"create_ss_vartypes","Creates list of vartypes for SQL Server import"
"truncate_table_db","Truncates a table in the database. Use with caution!"
"get_next_id","Gets the next (id) value from a table"
"set_id_col","Sets an auto-incremented id column on a data.table for inserting data into a database (with an integer based id column but no identity property)"
"update_table_db","Updates a table in the database given input data"
"set_missing_db_cols","Adds columns to input data.table if they are missing when compared to database table (For inserting data into database - for example, if a melt/cast does not produce all the columns in a data.table for insert, this will add those missing columns)"
"parse_flat_date","Converts string dates like ""110216"" or ""11022016"" to 11/2/16 date objects"
"fix_date_mixed_xlsx","For messed-up date(time) column on import This preserves order"
"format_zip","Formats zip codes to 5 digits"
"str_trim_character_cols","str_trim() all character columns in data.table / data.frame"
"set_data_col_names","sets standard column names for data.table"
"coerce_data_str","data.table column type coercer (mostly for get_*_db() functions)"
"first_uc","Makes first letter uppercase and all subsequent letters lowercase"
"importFunErr","Executed when an error occurs in importFun"
"importFunWarn","Executed when an warning occurs in importFun"
"insert_import_record_db","Save record in database of successful import"
"get_data_xls","Gets xls data from vector of filenames are returns single data.table"
"get_data_csv","gets csv data from vector of filenames are returns single data.table"
"get_data_filenames","Gets filenames from sub directory path and logs message (for XLS/CSV loading functions)"
"encrypt_person_id","Encrypts SSN into person_id column"
"set_parent_id","Sets a parent id column (from a parent table) on data given data's id (or code) column Essentially creates a X-ref table to the parent table and then merges that onto the input table Does not guarantee returned order of dat is same as input"
"get_eligibility_v1_xls","Gets eligibility data from XLS"
"get_eligibility_v2_xls","Gets (full) eligibility data from XLS"
"get_eligibility_dsv","TODO still working on...gets delimiter version of eligibility file"
"save_eligibility_db","Save eligibility data to DB (inserts / updates) TODO - need to test update functionality"
"get_eligibility_db","Retrieves eligibility data from database"
"get_eligibility_addl_xls","Gets the data from XLS of extra columns not on the originally eligibility file"
"get_subscribed_members","Returns eligible members on given date"
"import_eligibility_from_zip","Import magellan daily file from zip into database"
"try_import_eligibility_from_zip","try/catch wrapper for import_eligibility_from_zip - imports magellan daily data from zip"
"get_eligibility_blr_db","Gets eligibility from DB for BLR"
"get_dummy_member_names_file","Gets dummy member names from file (for discarding)"
"get_engagement_sequences_file","Gets engagement sequences from XLS in resource directory"
"save_engagement_sequences_db","Saves output of get_engagement_sequences() to database"
"get_engagement_sequences_db",""
"get_experian_csv","Gets Experian data from txt file - note this does format file names for SS importing purposes"
"get_all_experian_csvs","Gets all Experian csvs and combines into one file for import to database, adds date field"
"save_experian_db","Save experian data to DB (inserts / updates) TODO - need to test update functionality"
"get_experian_db","Retrieves Experian data from database"
"get_latest_experian_hh_mosaic_db","Return latest mosaic household code and plain english description for each member in experian data"
"get_experian_colname_xref","Import magellan daily file from zip into database"
"get_med_claim_v1_xls","Gets claim data from XLS (2017-present / VBA format)"
"get_med_claim_v1_csv","Gets claim data from CSV (2017-present / VBA format)"
"get_med_claim_dsv","Gets claim data from txt file (2017-present / VBA format)"
"format_med_claim_v1_cols","Formats columns of claims object"
"change_med_claim_v1_colnames","Changes names of columns of claims object"
"get_med_claim_v2_xls","Gets medical claim data from XLS (2016 / 623 / AS400 format) note - this required the "".xls"" files to be saved out manually to "".xlsx"""
"save_med_claim_db","Save medical claim data to DB (inserts / updates) TODO - need to test update functionality"
"get_med_claim_db","Retrieves medical claim data from database"
"get_med_claim_alpha_xls","Gets claim data from XLS (2016-present format - deprecated)"
"get_as400_colname_xref","Returns column crosswalk for AS400 claims (to 'claim' table names)"
"import_med_claim_from_zip","Import vba med claim daily file from zip into database"
"try_import_med_claim_from_zip","try/catch wrapper for import_med_claim_from_zip - imports med claim daily data from zip"
"get_short_med_claim_db","Retrieves medical claim data from database"
"get_med_claim_blr_db","Gets med claims from DB for BLR"
"get_plan_types_xls","Gets plan types data from XLS"
"get_precert_v1_txt","Gets precert data from txt file"
"save_precert_db","Save precert data to DB (inserts / updates) TODO - need to test update functionality / key fields"
"get_precert_db","Retrieves precert data from database"
"import_precert_from_zip","Import precert / UM daily file from zip into database"
"try_import_precert_from_zip","try/catch wrapper for import_precert_from_zip - imports precert / UM daily data from zip"
"save_prediction_validation_db","Saves out validated predictions table to db"
"save_data_errors_db","Saves out validated predictions table to db"
"get_hhs_leie_db","Gets U.S. Dept of Health and Human Services / Office of Inspector General - List of Excluded Individuals/Entities (LEIE) https://oig.hhs.gov/exclusions/exclusions_list.asp#instruct"
"update_hhs_leie_db","Updates U.S. Dept of Health and Human Services / Office of Inspector General - List of Excluded Individuals/Entities (LEIE) on database"
"get_hhs_leie_csv","Get the list of providers / businesses who are on the U.S. Dept of Health and Human Services / Office of Inspector General - List of Excluded Individuals/Entities (LEIE) Download this from https://oig.hhs.gov/exclusions/exclusions_list.asp#instruct 'XX-XXXX Updated LEIE Database'"
"get_leie_exclusion_types_html","For use by get_hhs_leie_from_csv() to get human-readable exlusion types onto the HHS LEIE Save ""https://oig.hhs.gov/exclusions/authorities.asp"" to ""hhs_leie_exclusion_types.html"""
"save_hhs_leie_db","Saves HHS LEIE to database"
"drop_hhs_leie_db","Drops HHS LEIE table from database if exists"
"leie_date_conv","For converting string date field in LEIE"
"save_rpt_rolling_cases_db","Saves rolling cases (landing page) to database"
"get_rpt_measures_file","Gets measures table from file to save to database"
"save_rpt_measures_db","Saves rpt_measures table to database (truncates existing first)"
"get_rpt_dimensions_file","Gets dimensions table from file to save to database"
"save_rpt_dimensions_db","Saves rpt_dimensions table to database (truncates existing first)"
"get_rpt_utilization_data","Gets utilization report data from database to produce aggregate fact table (consumed by get_rpt_utilization_facts())"
"save_rpt_utilization_facts_db","Saves (aggregated) rpt_utilization_facts to database"
"get_rpt_variance_data","Gets variance report data from database to produce aggregate fact table (consumed by get_rpt_variance_facts())"
"save_rpt_variance_facts_db","Saves (aggregated) rpt_variance_facts to database"
"get_rx_v1_xls","Gets (Magellan) medication data from XLS"
"get_rx_v2_xls","Gets (Magellan) medication data from XLS - rows to skip up top, ugh (v2)"
"get_rx_dsv","Gets Magellan data from delimiter separated values flat file"
"save_rx_db","Save RX data to DB (inserts / updates) TODO - need to test update functionality"
"get_rx_db","Retrieves RX data from database"
"get_generic_rx_list_from_xls","Gets the list of generic medications cross referenced to the brand name."
"import_rx_from_zip","Import magellan daily file from zip into database"
"try_import_rx_from_zip","try/catch wrapper for import_rx_from_zip - imports magellan daily data from zip"
"get_rx_blr_db","Gets Rx from DB for BLR"
"get_rxedo_colname_xref","Returns column crosswalk for RxEDO claims (to 'rx' table names)"
"get_rx_rxedo_dsv","Gets RxEDO data from delimiter separated values flat file"
"import_rx_rxedo_from_zip","Import RxEDO daily file from zip into database"
"try_import_rx_rxedo_from_zip","try/catch wrapper for import_rx_rxedo_from_zip - imports RxEdo daily data from zip"
"get_rx_rxedo_db","Retrieves RxEdo data from database"
"save_rx_rxedo_db","Save RxEDO data to DB (inserts / updates) TODO - need to test update functionality"
"save_blr_db","Saves Billing Leakage Report (BLR) to web database for portal consumption"
"save_member_infographic_db","Refreshes data consumption for the member chart on the members page Includes encounters (based on claims), interventions, the past incurred plot as well as program intervals"
"save_interventions_db","Saves interventions to database"
"get_interventions_db","Gets interventions from the database"
"get_intervention_journal_db","Gets intervention journal records from the database For intervention_journal_type_id: Assignment = 0 ResponseType = 1 ResponseSubType = 2 DueDate = 3"
"get_interventions_latest_info_db","Gets chart interventions view from the database"
"get_intervention_responses_file","gets intervention response options from file"
"get_predictions_db","Gets predictions from the database"
"save_model_predictions_db","Saves the model predictions to the database"
"save_model_predictions_live_db","Saves the model predictions to the database - most recent only (truncates table first)"
"save_model_reasons_db","Saves out model reasons to db"
"save_model_reasons_live_db","Saves out model reasons to db - most recent only (truncates table first)"
"save_subject_members_db","Saves new members to web subjects and subject members (concrete GBA specific implementation of subjects) tables, updates existing and sets members to not current (if applicable)"
"get_subjects_db","Gets subjects out of web database (abstract subjects or concrete subject_members)"
"save_subject_info_db","Gets member measures (eg comorbdities, preventative measures, etc) from iv dataset and saves to db"
"get_subject_id_xref","Gets cross-reference between person_id and subject_id for inserting into GBA_WEB"
"save_groups_db","Saves new groups (if present) into the database"
"get_groups_db","Gets data from (member) groups table of database"
"save_member_current_status_db","Saves out member_current_status table to database (side table risks and flags) - uses predictions/scores and"
"get_wellview_xls","Gets Wellview data from XLS Returns list"
"get_wellview_csv","Gets Wellview data from CSV files in directory Returns list"
"save_wellview_db","Save Wellview data to DB (inserts / updates) TODO - need to test update functionality"
"get_wellview_db","Retrieves wellview data from database"
"get_wellview_activity_dates","Returns first and last dates of wellview activity per person_id (encrypted ssn)"
"import_wellview_from_zip","Import wellview daily file from zip into database"
"try_import_wellview_from_zip","try/catch wrapper for import_wellview_from_zip - imports wellview daily data from zip"
"get_who_flu_csv","Gets WHO flu data from txt file - note this does format file names for SS importing purposes Download latest from https://apps.who.int/flumart/Default?ReportNo=12 or https://www.who.int/influenza/gisrs_laboratory/flunet/en/ > ""Download influenza laboratory surveillance data from any week"" Select by ""Country, area or territory"" Filter by: ""United States of America"" Year from ""2015"" Week from ""1"" Year to CURRENT YEAR Week to ""53"""
"save_who_flu_db","Save WHO flu data to DB"
"get_who_flu_db","Get WHO flu data from external database"
"colSdColMeans","Title"
".iBinVarFinalize","Internal use"
"elimRedundantCols","elimRedundantCols Finds all the columns that are redundant, by spearman correlation > threshold"
"elimRedundantCols_discrete","elimRedundantCols Finds all the columns that are redundant, by spearman correlation > threshold"
"fanOutAndWords","Fans out words of a string into separate rows for a datatable - ' and ' is the delimiter"
"fanOutDates","Produces a vector of dates given a start and end date. For datatables mostly Usage example: fanned_out <- date_interval[,list(date=fanOutDates(first_date,last_date)),by=list(id)]"
"fanOutWords","Fans out words of a string into separate rows for a datatable"
"getMakeRFTestDataset_score","Function to generate testset for iMakeRFDataset variants"
"getMakeRFTestDataset_train","Function to generate testset for iMakeRFDataset variants"
"get_action_db","Gets actions from database and does some cleaning"
"get_action_insert_update_list","Passing in a DT of currently firing actions and existing actions in the database (correct format needed) this function returns a 2 item list of what actions are to be inserted and what need to be updated"
"get_param_values","Returns a list of parameters and parameter values for a given rule"
"get_suggested_actions","Returns a datatable of actions, priorities and action descriptions of a rule"
"hello","Hello, World!"
"iAES","Gets an AES encyption cipher"
"iAddDxCCSGroups","iAddDxCCSGroups Adds level 1 and 2 CCS diagnosis groupings to an input datatable with a diagnosis column. Accepts both ICD9 and 10 diagnoses."
"iAllWordsToDTM","Produces a DTM of all words and nothing else (ie no ngrams, no word stemming, etc)"
"iAppendDTRow","Appends a row to the end of a datatable Inserts NA's if cols in x don't exist in end_row"
"iApplyRolling","TO BE DEPRECATED USE iRollDT"
"iAreaStats","gather latest records of area stats (socioecono / marketforces) TODO check if tables in table_list exist"
"iAsDate","return date from month/date/year or 'Jul 28 1907 12:00AM' style dates but can be 1 or 2 digit months & days"
"iAsDateDT","iAsDate for data.tables"
"iBabble","Wrapper function for babble that handles errors more gracefully.  See ?babble for documentation."
"iBabbleGramDTM","Similar to iNGramDTM, except the n-grams do not have to be in sequential order."
"iBagOfWords","Returns a datatable of bag-of-words style text mining"
"iBigCast","Casts (dcast) a big dataframe DOES NOT WORK YET!!! Too many rows... need to figure out a way to ""collapse"" rows together with same id and date"
"iBinVarCategorical","Discretizes a categorical independent variable (x) to its dependent variable (yUse)"
"iBinVarNumeric","Discretizes a numeric independent variable (x) to its dependent variable (yUse)"
"iBins","Fast Discretize multiple continous or categorical variables (x) against a specified target variable (y)"
"iBins2","Fast binning algorithm.  Discretizes a dataset (xUse) to a target (or dependent) variable (yUse)."
"iBinsParallel","Parallized version of iBins2"
"iBinsParallel2","Parallized version of iBins2"
"iBoot","Calculates the confidence interval by bootstrapping the dataset"
"iBuildAndTestModels","Builds models from data to random forest.  Contrains 3 stage variable selection, first by SAD importance, then by colinearity with a more signficiant variable, then by random forest.  The final models are the fit with the remaining variables."
"iBulkSQLSave","Fast sql saving using BULK INSERT"
"iCbindTo","Fast version of cbind for data tables.  dt2 is appended to dt1, so runs faster if the larger data table is dt1."
"iChangeBool","returns 1 if there is more than one value in set, 0 if only one value, NA if no values"
"iChangeLast","returns the difference in the last 2 records (returns numeric!)"
"iCheck.data.table","Performs data santify checks on a production input file using the data profile generated by iProfile.data.table of your training set."
"iCheckPredictors","Checks for congruence between the dataset (xrf) and the model (rf)"
"iClassificationAccuracy","prototype evaluation metric"
"iClassificationReport","Reports on predicitve accuracy for 2 class problems, includes a formatted truth table, sensitivity, specificity, positive predicted value, negative predicted value, F1 score, etc."
"iCleanCorpus","Cleans the text in a corpus.  By default, all cleaning methods are used: strip whitepace, remove punctuation, remove numbers set to lower case, remove stopwords, replace words with their wordstems.  Set the corresponding function parameter to FALSE to skip execution of the cleaning method."
"iCleanNumericCol","iCleanNumericCol returns raw numbers from test scores - essentially strips all non numeric/periods"
"iCleanPhoneNumber","Cleans a phone number to 10 (character) digits Returns less than 10 digits too"
"iCleanText","Cleans the text in a text array (""sentence"").  By default, all cleaning methods are used: remove punctuation, remove numbers set to lower case, and remove control characters.  Set the corresponding function parameter to FALSE to skip execution of the cleaning method."
"iCleanZipCode","Cleans a zipcode to 5 (character) digits Returns less than 5 digits too"
"iCompare.categorical","Determines the distributional shift between two populations of categorical variables by determine the frequency of occurence for for each category, and summing the differences of these frequency between the two population (divided by 2).  Return value of 0 indicates an identical categorical distribution.  Return value of 1 indicates completely different categories."
"iCompare.data.frame","Computes an number of statistics on a data frame (containing either categorical, numeric or both) to identify distributional shifts between two samples."
"iCompare.vector","Computes an number of statistics on a vector (categorical or numeric) to identify distributional shifts between two samples."
"iConfusionCalc","Calculates the frequencies from a confusion matrix by predicted class and by actual class."
"iConfusionVisualization","Visualizes confusion matrix frequencies (as genearted by iConfusionCalc) in a heat map"
"iCountNonNA","Counts the number of non-NA values in x."
"iCountNonzero","Counts the number of non-zero values in x."
"iCountUniqueNonNA","Counts the unique number of non-NA values in x."
"iCreatePairs","Return a dataframe of all possible pairs of elements of a vector"
"iCut","cuts a continuous value into factors, based on the distribution of observations in the sampleset"
"iDTM2data.frame","Does the same thing is data.frame(inspect(dtm)), except it is faster and does spit out the annoying output that fills up your screen buffer."
"iDTM2data.table","Does the same thing is data.table(inspect(dtm)), except it is faster and does not spit out the annoying output that fills up your screen buffer."
"iDXSequence","function for assigning p (primary), s (secondary), n (not diagnosed with) to ICD9 vars"
"iDataCountByMonth","iDataCountByMonth Pass in a datatable (or sql table name) - returns counts by month"
"iDatasetCrossReference","Used for exporting a model to Java"
"iDcast","Peforms a chunked version of dcast for casting a very large dataset."
"iDecodeMDC","MDC decoder Decodes a vector of integers or characters from the major diagnostic category (MDC) to its descrition.  See https://en.wikipedia.org/wiki/Major_Diagnostic_Category for more information on MDC."
"iDecrypt","Decrypts text using AES encryption."
"iDedupe","Determines if records are potentially duplicate"
"iDetectNonStationary","Detects Systematic bias from the mean"
"iDetectOutliers","Detects the outliers in the numeric columns given a data.table."
"iDiscretize","Discretize multiple continous or categorical variables (x) against a specified target variable (y)"
"iDiscretize.bin.lookup","This function is retruns the bins corresponding to the provided sample (samplex).  This function is used by iDiscretize.predict to generate a prediction sampleset."
"iDiscretize.bin.lookup2","This function returns the bins corresponding to the provided sample (xi).  This function is used by iDiscretize.predict2 to generate a prediction sampleset."
"iDiscretize.categorical","Discreteize single factor (x) with a specific target variable (y)"
"iDiscretize.continuous","Discretize a single coninuous variable (x) with a specific target variable (y)"
"iDiscretize.explain2","This function produces explain reasons for each sample.  The reasons are manually defined for each bin.  As a starting point, you can define the reason as the variable name by preparing your list of bins (created by iDiscretize.bins) with the following commands: prepared_bins <- do.call(""rbind"",bins); prepared_bins$reason <- paste(prepared_bins$x_name);"
"iDiscretize.predict","Using a bin model (bins) and a prediction dataset (x), this function makes a prediction for each sample in x.  The prediction is based on the VOTING_FUN, by default the mean, of all of the corresponding bins for the sample.  The bin model should be developed using iDiscretize."
"iDiscretize.predict.spline","bin predictions using spline interpoloation (not tested-did not outperform step function of discretizer)"
"iDiscretize.predict2","Prediction framework optimized for large batches... unlike iDiscretize.predict, which predicts sample by sample, this function first looks up all predictions for each variable and then calculates the prediction after all predictor variables have been processed."
"iDiscretize.spline","Converts the numeric bins in a bin model into splines"
"iDiscretize.spline.convert","Converts the numeric bins for a variable into splines"
"iDiscretizeByBins","Breaks a named list of the breakpoints for each continuous variable"
"iDisinctNonZeroCount","return number of elements that aren't zero (or NA) - if only NA values, returns NA"
"iEDA.ROC","Receiver operator characteristic (ROC) curve (under development/testing)"
"iEDA.bins","Generates a bin visualization for each varaible in the model"
"iEDA.bins.individual","Generates a bin vizualization for an individual variable in a model"
"iEDA.liftCurve","Plots a lift curve for the specified model (that is currently attained through stepwise regression) TO BE DEPREACTED.  Use iEDA.liftCurve2 instead."
"iEDA.liftCurve2","Second version of the lift curve generator.  Improved as it doesn't use ggplot's smoothing functions... just calculates the straight mean for each quantile.  This version also plots the number of observations and the mean absolute deviation per quantile."
"iEncrypt","Encrypts text using AES"
"iExcept","returns items in set 1 that either are not in set 2 or are different (ie SQL EXCEPT)"
"iExplodeCols","take a dataframe or data.table with an id column and 1+ data columns with 'CSV' fields and 'explode' them into counts summing per row if needed"
"iFactorCrossReference","List all factors, their categorical values, and their factor enumerations in a data.frame.  Used to dump a RF model in R for import into Java."
"iFindPHI","Identifies potential personal health information (PHI) in the list of tables provided"
"iFindPHI.data.frame","Identifies potential personal health information (PHI) in the data frame specified"
"iFindRedundantVars","Select redudant or 0 MAD variables from an RF (no nulls) dataset Based on MAD and correlation between variables"
"iFindRedundantVars2","Select redudant or 0 MAD variables from an RF (no nulls) dataset Based on MAD and correlation between variables"
"iFirst","Title"
"iFirstCharacter","opposite of iLastCharacter (returns first of vector)"
"iFirstNumeric","returns the first numeric NA"
"iFirstWord","returns first word in a string first word defined by characters between 1 and first space-1"
"iFmeasure","Function that calculate f-score for a document term matrix."
"iGenerateDDL","Takes a data.frame or data.table and renders the SQL DDL that would fit the data. Automatically determines data types from the data, varchar lengths, etc."
"iGenerateLiftScatterCorr","Gen lift curves, confusion matrices, correlations for Test and Train Have to set up these flags to be called in the loop below (via modPrefix) Note: using ALL the train/test data (< 15 days) vs. the Tx subsample"
"iGenerateModelImportances","saveModelImpCSV - saves and returns a table of all of the IV importances in the final models"
"iGeometricMean","Computes the geometric mean"
"iGetAntimicrobialsNDC","Gets a data.table listing of all antimicrobials (antibiotic or antifungal) found in the National Drug Code database."
"iGetBinValues","Fast Bin Sample"
"iGetDiastolicBP","takes string in form of ""123/45"" or ""123/45 standing 120/80 sitting"" or ""123 /45"" etc. and returns blood pressure values as numbers TODO add validation..."
"iGetEnglishDictionary","Gets a list of all words in the english dictionary."
"iGetFirstNames","Gets a list of the most common first names, based on the 1990 US census"
"iGetLastNames","Get a list of the most common last names, based on the 1990 us census"
"iGetMAPBP","takes string in form of ""123/45"" or ""123/45 standing 120/80 sitting"" or ""123 /45"" etc. and returns blood pressure values as numbers TODO add validation..."
"iGetMDCTable","MDC lookup table Get a lookup table for cross references the major diagnostic category (MDC) to that of its description"
"iGetNABin","Global factor level for the NA bin"
"iGetNDC","TO BE DEPRECATED... added NDC to lazy load... just need to reference ""NDC_product"" and the data will automatically load. Gets NDC (downloaded from //www.fda.gov/Drugs/InformationOnDrugs/ucm142438.htm (zip))"
"iGetNGrams","Wrapper function for get.ngrams that handles erros more gracefully"
"iGetNGramsSorted","Wrapper function for get.ngrams that handles erros more gracefully, and also sort grams (if you don't care about word order)"
"iGetNonOverlappingRandomSample","TO BE DEPRECATED Selects a random sample for a longitudinal dataset that ensures none of the samples overlap (or are not independent)."
"iGetOtherBin","Global factor level for the other bin"
"iGetStopwords","Souped-up stopword function that combines stopwords from multiple sources."
"iGetSystolicBP","takes string in form of ""123/45"" or ""123/45 standing 120/80 sitting"" or ""123 /45"" etc. and returns blood pressure values as numbers TODO add validation..."
"iGetTree","Wrapper function for getTree that formats the split point and prediction to a higher level of precision."
"iGridSearchRF","Grid search the parameters of the random forest in an effort to tune a model."
"iGroupGroupsLookup","Takes a list of vectors of ID's and groups them further if ID's are shared across groups. Returns a data.table."
"iGroupPairsLookup","Takes pairs of ID's and groups them further if ID's are shared across pairs. Returns a data.table."
"iImportBEA","Imports csv's into BEA_CA05N_personal_income_by_industry from"
"iInstallStandardPackages","Installs the standard packages used commonly by IMIDEX Get Rtools first - manual install: https://cran.r-project.org/bin/windows/Rtools/"
"iIsNum","Returns back true if string is a numeric (ie ""1.3"") or false if not"
"iLOCF","iLOCF fast rolls (no id/date) values forward into NA's in a datatable that has id/date fields"
"iLapply","same as lapply, just faster for large data.frames as it doesn't coerce it to a list"
"iLast","Title"
"iLastChangePct","computes percent change in last 2 unique readings"
"iLastCharacter","Title"
"iLastNewChangePct","computes percent change in last 2 unique readings"
"iLastNumeric","returns the last numeric NA"
"iLastZero","returns 0 if no records found"
"iLatestRoll","iLatestRoll Latest values for a time series. Much faster and less memory-intense than iMeCaCoRollDT(). Takes a ""melted"" data.table as roll data (can take ""casted"" but not tested). If days_since is set to true, will produce the # of days since the latest value was seen. In that case, set your value_field to a numeric from your date_field (eg. roll_data[,value_field:=as.numeric(date_field)]) *NOTE can only pass all numerics or all characters currently."
"iLoadRDS","Loads all RDS files that exist the specified directory into the workspace."
"iLoadTables","Loads all tables listed from the specified database into your default environment, creating one object per table."
"iMAD","Computes the mean abolute deviation from the sample mean of x"
"iMFV","Gets the most frequent value of x"
"iMFVF","Gets the frequency of the most frequent value of x"
"iMakeDTM","Turns a corpus into a a DTM, just like how DocumentTermMatrix does it, however is built to work for both production and development."
"iMakeDateRanges","Given an object of id's and date ranges (start and end date), produce the dates per ids. Can also have other data that will be joined on at the end"
"iMakeNames","Standard method of conforming column names to be syntaically valid."
"iMakeRFDataset2","TO BE DEPRECATED USED iMakeRFDataset2 Prepares a dataset for random forest by, stripping categoricals with over 32 classes (randomForest cannot handle), imputing all NA values, and creating dummy variables for all NA values."
"iMakeRFDataset_discretized","Prepares a dataset for random forest - correct names, outlier detection, dicretization, redundant variable elimination"
"iMakeRFDataset_discretized_train","Prepares a dataset for random forest - correct names, outlier detection, dicretization, redundant variable elimination"
"iMax","Title"
"iMaxConsecutive","function finding maximum consecutive run..."
"iMaxDate","Title"
"iMaxNumeric","these force a numeric output"
"iMaxNumericNA","Title"
"iMaxZero","this version of iMax returns a 0 if there are no records instead of an NA"
"iMeCaCoRollDT","iMeCaCoRollDT This function has 2 uses for data columns with ""factors"" (not actual factors, rather a finite #of strings). The general idea is to pass the same 'id_date_data' data.table that you'd pass into iRollDT but 'roll_data' has 1 or more columns (after the 'id_field' and 'date_field' columns) with an event type that you either wish to count the past occurences of (in the window period defined in 'window_days') or time since the latest or earliest event type. ***Be careful about passing more 3 columns in - haven't totally verified the output of this. To use either type (count or time since): 1) melt cast on sum of count (but do not include a count column) and then roll - to use, set stats_fun=""sum"" and keep time_units=NULL 2) melt cast and calculate time since latest or earliest event type occured - to use, set stats_fun=""max"" (latest) or ""min"" (earliest) and set time_units=""days"",""hours"",""minutes"" or ""seconds"""
"iMean","Title"
"iMeanNA","Title"
"iMeanNumeric","Title"
"iMedian","Title"
"iMergeAllList","iMergeAllList Merges all datatables in a list. They must all have the same 'by' columns."
"iMin","catches for max and min which produce warnings in above functions (if no data to get max/min, R spits out warning - this"
"iMinNumeric","Title"
